Name,Symbol
Adva Optical Networking,ADVX:GER
Bechtle,BC8X:GER
Cancom,COKX:GER
Zeiss,AFXX:GER
Compugroup,"COPMX,A:GER"
Dialog,DLGX:GER
Draegerwerk,DRW3:GER
Drillisch,DRIX:GER
Evotec,EVTX:GER
Freenet,FNTX.N:GER
GFT,GFTX:GER
Jenoptik,JENX:GER
Medigene,MDG1X:GER
Morphosys,MORX:GER
Nemetschek,NEMX:GER
Nordex,NDXX:GER
Pfeiffer,PFVX:GER
Qiagen,QIAX:GER
RIB,RIBX:GER
S&T,SANTX:GER
Sartorius,SRT3:GER
Siltronic,WAFX.N:GER
SLM,AM3DX:GER
SMA,S92X:GER
Software AG,SOWX:GER
STRATEC,SBSX:GER
Telefonica,O2DX:GER
United Internet,ITDIX:GER
Wirecard,WDIX:GER
Xing,O1BX.N:GER
